Wed Feb 19 16:55:21 2025 [ServerEventAutomation] playerEvent Whitelighter (account_id: 44, oid: 281475004486519, played: 5m 22s, session: 5m 21s) on tatooine at 3461 -4899 - playerLoggedOut
Wed Feb 19 16:57:50 2025 [ServerEventAutomation] playerEvent Darklightr (account_id: 44, oid: 281475004485779, played: 10m 3s, session: 0s) on naboo at 5212 6676 - playerLoggedIn
Wed Feb 19 16:59:20 2025 [ServerEventAutomation] playerEvent Darklightr (account_id: 44, oid: 281475004485779, played: 11m 32s, session: 1m 29s) on naboo at 5169 6727 - playerLoggedOut
Wed Feb 19 17:08:12 2025 [ServerEventAutomation] playerEvent Jinn (account_id: 1, oid: 281475003593187, played: 23h 25m 9s, session: 1h 25m 3s) on corellia at -136 -4722 - playerLoggedOut
Wed Feb 19 17:17:08 2025 [ServerEventAutomation] playerEvent Girly (account_id: 49, oid: 281475004419622, played: 58m 27s, session: 0s) on naboo at 4933 -4923 - playerLoggedIn
Wed Feb 19 17:21:44 2025 [ServerEventAutomation] playerEvent BlazinYou (account_id: 49, oid: 281475004409813, played: 1h 22m 8s, session: 0s) on naboo at 1368 2750 - playerLoggedIn
Wed Feb 19 17:23:35 2025 [ServerEventAutomation] playerEvent Figo (account_id: 37, oid: 281475004046527, played: 54m 30s, session: 0s) on corellia at -167 -3458 - playerLoggedIn
Wed Feb 19 17:23:47 2025 [ServerEventAutomation] playerEvent Figo (account_id: 37, oid: 281475004046527, played: 54m 42s, session: 12s) on corellia at -167 -3458 - playerLoggedOut
Wed Feb 19 17:27:07 2025 [ServerEventAutomation] playerEvent Figo (account_id: 37, oid: 281475004046527, played: 54m 43s, session: 0s) on corellia at -167 -3458 - playerLoggedIn
Wed Feb 19 17:32:28 2025 [ServerEventAutomation] playerEvent Abaddon (account_id: 52, oid: 281475004487606, played: 1s, session: 0s) on tutorial at 557 205 - playerLoggedIn
Wed Feb 19 17:33:48 2025 [ServerEventAutomation] playerEvent Cia (account_id: 51, oid: 281475004486545, played: 41m 49s, session: 41m 48s) on corellia at -101 -4660 - playerLoggedOut
Wed Feb 19 17:35:14 2025 [ServerEventAutomation] playerEvent Holi (account_id: 51, oid: 281475004488546, played: 1s, session: 0s) on tutorial at 2793 1587 - playerLoggedIn
Wed Feb 19 17:35:20 2025 [ServerEventAutomation] playerEvent Durzo (account_id: 34, oid: 281475002490811, played: 1h 50m 24s, session: 0s) on dantooine at -3124 3779 - playerLoggedIn
